CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
CID-000272,Diaz7658,621,France,Female,28,5,102066.61,2,1,0,48755.73,No
CID-000273,Garcia317,713,Germany,Male,41,4,70450.8,2,0,0,141292.2,No
CID-000274,Park5861,363,Spain,Male,64,6,49876.12,2,0,1,79584.93,No
CID-000275,Brown7743,628,France,Female,29,5,67550.48,1,0,1,142029.37,No
CID-000276,Garcia2565,552,France,Female,54,6,82649.36,1,1,1,122639.85,No
CID-000277,Smith7655,521,France,Male,89,0,202335.25,1,1,1,177751.99,No
CID-000278,Brown654,367,Germany,Female,18,0,33424.35,1,0,0,119122.51,Yes
CID-000279,Tanaka4569,662,France,Male,79,2,213642.71,2,1,1,48633.31,No
CID-000280,Wong9516,588,Germany,Female,71,4,173797.69,2,1,1,,Yes
CID-000281,Williams1100,481,France,Female,20,10,96046.55,2,1,0,184621.44,No
CID-000282,Mendoza6948,469,France,Male,55,5,82404.94,2,1,1,67692.32,No
CID-000283,Smith7101,350,Spain,Male,47,7,140789.03,1,0,1,84643.95,No
CID-000284,Khan9745,632,France,Male,46,5,219623.05,1,1,0,196922.58,Yes
CID-000285,Kim6587,531,France,Male,58,4,114065.7,4,1,1,83484.07,No
CID-000286,Davis7939,392,Spain,Female,79,4,142597.4,2,1,0,131321.49,Yes
CID-000287,Tanaka9631,359,France,Female,39,7,6455.79,1,0,1,146413.66,No
CID-000288,Smith7922,644,Germany,Female,27,3,143784.3,1,1,1,130020.37,No
CID-000289,Wong9075,587,Germany,Male,54,3,75073.68,1,1,0,134779.7,Yes
CID-000290,Lee2787,804,Spain,Female,26,2,62120.16,1,1,1,26226.69,No
CID-000291,Park5089,716,France,Male,73,9,27075.15,1,1,0,24812.66,No
CID-000292,Khan1106,849,France,Male,63,4,95233.16,1,1,0,195563.8,Yes
CID-000293,Patel2964,770,France,Male,30,1,227682.75,3,1,1,28019.46,No
CID-000294,Smith9077,489,Germany,Male,58,9,206415.91,2,1,1,116222.34,No
CID-000295,Jones3507,584,France,Female,89,4,122250.3,2,1,1,53304.91,No
CID-000296,Jones2265,481,France,Male,82,9,158269.96,2,0,0,,No
CID-000297,Patel269,828,Spain,Male,91,0,231199.83,2,1,0,140939.48,Yes
CID-000298,Lee9573,759,France,Female,76,8,11540.48,2,1,1,12961.47,No
CID-000299,Brown1976,440,Germany,Male,30,2,60001.93,1,0,0,158484.79,Yes
CID-000300,Patel7072,815,Germany,Male,25,2,142221.57,2,1,0,119389.67,Yes
CID-000301,Ali3147,494,Germany,Female,77,3,101585.1,4,0,0,189968.32,Yes
CID-000302,Khan8022,426,Germany,Female,26,8,246897.89,2,0,0,197033.55,No
CID-000303,Jones9694,441,Germany,Female,50,4,230306.32,1,0,1,170692.92,No
CID-000304,Davis8693,827,Spain,Female,81,10,15758.94,1,1,1,71937.74,No
CID-000305,Cohen7036,804,Germany,Female,41,8,108171.43,2,1,1,118280.36,No
CID-000306,Jones2507,404,France,Male,50,5,247715.99,2,1,0,95989.45,No
CID-000307,Park208,604,Spain,Male,87,0,29157.63,3,1,1,176985.8,No
CID-000308,Lee627,718,Germany,Male,89,2,11905.32,1,0,0,,Yes
CID-000309,Williams5606,404,France,Male,35,6,161633.71,1,1,0,194598.59,No
CID-000310,Ali2204,411,France,Female,58,5,125421.97,2,0,0,140493.9,No
CID-000311,Khan6059,576,Germany,Female,27,2,246174.94,1,1,0,168275.42,Yes
CID-000312,Lee208,653,Spain,Male,52,9,91428.63,2,1,0,167493.55,No
CID-000313,Garcia7116,746,France,Male,85,0,204927.85,2,1,1,27849.18,No
CID-000314,Rossi5834,847,Spain,Female,45,1,224272.37,2,0,0,193040.16,No
CID-000315,Davis2848,716,Spain,Male,38,0,192171.18,1,1,1,108943.65,No
CID-000316,Williams3940,610,Germany,Male,48,4,95083.61,1,1,0,105968.5,No
CID-000317,Davis1541,805,France,Female,35,6,222520.64,3,0,0,128262.71,Yes
CID-000318,Garcia6651,725,France,Male,43,6,51222.65,2,1,0,109485.68,No
CID-000319,Smith7645,828,France,Male,77,8,104730.13,2,0,1,180468.57,No
CID-000320,Park2580,606,Spain,Male,88,9,14012.1,1,0,1,73895.54,No
CID-000321,Khan1678,364,Germany,Male,42,7,94419.89,2,1,0,57098.95,No
CID-000322,Nguyen1331,571,France,Female,63,10,23625.05,1,1,1,128966.17,No
CID-000323,Smith5281,570,Spain,Female,89,8,205013.54,2,0,0,130307.48,No
